,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.698,0.007,0.689,0.706,0.0,0.0,2224.0,1710.0,1.0
Omega_m,0.283,0.018,0.257,0.311,0.001,0.0,2186.0,1515.0,1.0
dL[0],0.318,0.003,0.314,0.321,0.0,0.0,2291.0,1759.0,1.0
dL[1],0.438,0.003,0.433,0.442,0.0,0.0,2323.0,1793.0,1.0
dL[2],0.503,0.004,0.498,0.508,0.0,0.0,2343.0,1809.0,1.0
dL[3],0.751,0.005,0.744,0.758,0.0,0.0,2438.0,1854.0,1.0
dL[4],0.786,0.005,0.778,0.793,0.0,0.0,2455.0,1867.0,1.0
dL[5],0.847,0.006,0.84,0.856,0.0,0.0,2484.0,1968.0,1.0
dL[6],0.977,0.006,0.968,0.986,0.0,0.0,2559.0,1997.0,1.0
dL[7],0.978,0.006,0.97,0.987,0.0,0.0,2560.0,1997.0,1.0
dL[8],1.119,0.007,1.109,1.129,0.0,0.0,2654.0,2053.0,1.0
dL[9],1.14,0.007,1.13,1.15,0.0,0.0,2669.0,2160.0,1.0
dL[10],1.219,0.007,1.209,1.229,0.0,0.0,2732.0,2256.0,1.0
dL[11],1.336,0.008,1.326,1.348,0.0,0.0,2835.0,2294.0,1.0
dL[12],1.533,0.009,1.521,1.545,0.0,0.0,3048.0,2407.0,1.0
dL[13],1.549,0.009,1.538,1.562,0.0,0.0,3069.0,2414.0,1.0
dL[14],1.701,0.009,1.689,1.715,0.0,0.0,3277.0,3160.0,1.0
dL[15],1.727,0.009,1.714,1.74,0.0,0.0,3317.0,3174.0,1.0
dL[16],1.733,0.009,1.72,1.746,0.0,0.0,3327.0,3198.0,1.0
dL[17],1.737,0.009,1.725,1.751,0.0,0.0,3334.0,3198.0,1.0
dL[18],1.772,0.009,1.759,1.786,0.0,0.0,3393.0,3209.0,1.0
dL[19],1.796,0.009,1.783,1.81,0.0,0.0,3434.0,3195.0,1.0
dL[20],1.818,0.009,1.805,1.832,0.0,0.0,3470.0,3253.0,1.0
dL[21],1.833,0.009,1.82,1.847,0.0,0.0,3498.0,3294.0,1.0
dL[22],1.84,0.009,1.827,1.854,0.0,0.0,3511.0,3278.0,1.0
dL[23],1.879,0.01,1.865,1.893,0.0,0.0,3583.0,3267.0,1.0
dL[24],1.886,0.01,1.873,1.9,0.0,0.0,3597.0,3279.0,1.0
dL[25],1.886,0.01,1.873,1.9,0.0,0.0,3597.0,3279.0,1.0
dL[26],1.895,0.01,1.882,1.91,0.0,0.0,3615.0,3296.0,1.0
dL[27],1.974,0.01,1.96,1.989,0.0,0.0,3780.0,3489.0,1.0
dL[28],2.003,0.01,1.989,2.017,0.0,0.0,3845.0,3490.0,1.0
dL[29],2.07,0.01,2.056,2.085,0.0,0.0,4007.0,3794.0,1.0
dL[30],2.151,0.01,2.137,2.167,0.0,0.0,4226.0,3847.0,1.0
dL[31],2.178,0.01,2.162,2.193,0.0,0.0,4303.0,3948.0,1.0
dL[32],2.185,0.01,2.17,2.2,0.0,0.0,4327.0,3947.0,1.0
dL[33],2.206,0.01,2.19,2.221,0.0,0.0,4391.0,4029.0,1.0
dL[34],2.342,0.011,2.325,2.358,0.0,0.0,4864.0,4386.0,1.0
dL[35],2.39,0.011,2.374,2.406,0.0,0.0,5058.0,4579.0,1.0
dL[36],2.429,0.011,2.412,2.445,0.0,0.0,5201.0,4607.0,1.0
dL[37],2.439,0.011,2.422,2.455,0.0,0.0,5241.0,4679.0,1.0
dL[38],2.448,0.011,2.431,2.465,0.0,0.0,5279.0,4693.0,1.0
dL[39],2.465,0.011,2.449,2.482,0.0,0.0,5349.0,4736.0,1.0
dL[40],2.485,0.011,2.468,2.501,0.0,0.0,5431.0,4756.0,1.0
dL[41],2.553,0.011,2.536,2.57,0.0,0.0,5729.0,5115.0,1.0
dL[42],2.613,0.011,2.595,2.63,0.0,0.0,5989.0,5151.0,1.0
dL[43],2.62,0.011,2.603,2.638,0.0,0.0,6022.0,5151.0,1.0
dL[44],2.661,0.011,2.643,2.679,0.0,0.0,6211.0,5736.0,1.0
dL[45],2.713,0.011,2.694,2.73,0.0,0.0,6458.0,5876.0,1.0
dL[46],2.73,0.012,2.712,2.748,0.0,0.0,6546.0,5894.0,1.0
dL[47],2.746,0.012,2.728,2.764,0.0,0.0,6624.0,5826.0,1.0
dL[48],2.753,0.012,2.735,2.771,0.0,0.0,6658.0,5885.0,1.0
dL[49],2.766,0.012,2.747,2.784,0.0,0.0,6723.0,5894.0,1.0
dL[50],2.78,0.012,2.761,2.798,0.0,0.0,6796.0,5978.0,1.0
dL[51],2.798,0.012,2.779,2.816,0.0,0.0,6889.0,6063.0,1.0
dL[52],2.87,0.012,2.852,2.89,0.0,0.0,7283.0,6445.0,1.0
dL[53],2.885,0.012,2.867,2.905,0.0,0.0,7372.0,6521.0,1.0
dL[54],2.895,0.012,2.876,2.914,0.0,0.0,7430.0,6503.0,1.0
dL[55],2.901,0.012,2.882,2.92,0.0,0.0,7455.0,6498.0,1.0
dL[56],2.922,0.012,2.903,2.942,0.0,0.0,7575.0,6610.0,1.0
dL[57],2.947,0.012,2.929,2.967,0.0,0.0,7715.0,6682.0,1.0
dL[58],2.951,0.012,2.933,2.971,0.0,0.0,7736.0,6682.0,1.0
dL[59],2.991,0.012,2.971,3.011,0.0,0.0,7960.0,6777.0,1.0
dL[60],2.999,0.012,2.979,3.019,0.0,0.0,8006.0,6816.0,1.0
dL[61],3.003,0.012,2.983,3.023,0.0,0.0,8027.0,6816.0,1.0
dL[62],3.021,0.012,3.001,3.04,0.0,0.0,8126.0,6786.0,1.0
dL[63],3.033,0.012,3.012,3.052,0.0,0.0,8197.0,6806.0,1.0
dL[64],3.043,0.012,3.023,3.063,0.0,0.0,8257.0,6844.0,1.0
dL[65],3.063,0.012,3.043,3.083,0.0,0.0,8376.0,6912.0,1.0
dL[66],3.07,0.012,3.049,3.09,0.0,0.0,8415.0,6912.0,1.0
